@relation basefightstraining
@attribute fight_outcome {D,L,W}

@attribute fight_country {Japan,Philippines,Nicaragua,Thailand,Panama,Indonesia,Mexico,Argentina,'United Kingdom','South Africa',Brazil,France,Australia,USA,'Costa Rica',Ecuador,Colombia,Bolivia,Belgium,China,Canada,Tanzania,Spain,Chile,Russia,'Dominican Republic',Belarus,Italy,Kyrgyzstan,Kazakhstan,Venezuela,Namibia,Monaco,Laos,Georgia,Finland,Switzerland,Hungary,Germany,'Czech Republic','New Zealand',Croatia,'Puerto Rico',Singapore,Poland,Denmark,Macedonia,Ukraine,Ireland,Latvia,Slovakia,Austria,'Bosnia And Herzegovina',Slovenia,Azerbaijan,Honduras,Peru,Romania,'South Korea','United Arab Emirates',Haiti,Luxembourg,Estonia,Turkey,Netherlands,Greece,Martinique,Albania,'Trinidad And Tobago','French Polynesia',Sweden,Uruguay,Kenya,Kosovo,Serbia,Morocco,Ghana,Egypt,Uganda,Portugal,'Congo (Democratic Republic Of The)',Montenegro,Moldova,Lithuania,Algeria,Guyana,Fiji,Bulgaria,Aruba,Timor-Leste,Malta,'U.S. Virgin Islands','New Caledonia',Paraguay,Uzbekistan,Benin}

@attribute fight_scheduled {3,4,5,6,8,9,10,11,12}

@attribute fight_division {bantamweight,cruiserweight,featherweight,flyweight,heavyweight,'light flyweight','light heavyweight',lightweight,middleweight,minimumweight,'super bantamweight','super featherweight','super flyweight','super lightweight','super middleweight','super welterweight',welterweight}

@attribute boxer_localOvisitante {LOCAL,VISITANTE}
@attribute boxer_years_since_debut numeric

@attribute boxer_stance {orthodox,southpaw}
@attribute boxer_fights numeric

@attribute boxer_won numeric
@attribute Boxer_last_6_score numeric
@attribute boxer_last2 {'{w,l}','{d,l}','{l,w}','{l,l}','{w,w}','{w,d}','{d,w}','{d,d}','{l,d}'}
@attribute opponent_localOvisitante {LOCAL,VISITANTE}

@attribute opponent_years_since-debut numeric

@attribute opponent_stance {southpaw,orthodox}
@attribute opponent_fights numeric
@attribute opponent_won numeric

@attribute opponent_last6_score numeric

@attribute opponent_last2 {'{w,l}','{l,w}','{d,l}','{l,l}','{w,w}','{w,d}','{d,d}','{l,d}','{d,w}'}

@attribute boxer_age2 numeric
@attribute opponent_age2 numeric


@data
L,USA,12,lightweight,VISITANTE,9,orthodox,32,97,4,'{w,w}',VISITANTE,7,southpaw,28,89,4,'{w,w}',25,25
W,Nicaragua,10,lightweight,LOCAL,5,orthodox,26,58,-3,'{w,l}',LOCAL,5,southpaw,19,95,6,'{w,w}',29,26
L,Japan,8,'super flyweight',LOCAL,2,orthodox,7,100,6,'{w,w}',LOCAL,4,southpaw,14,64,2,'{w,l}',18,21
L,'United Kingdom',12,'super lightweight',VISITANTE,10,southpaw,36,86,0,'{w,w}',LOCAL,9,orthodox,36,92,6,'{w,w}',31,32
W,Japan,6,'super flyweight',LOCAL,5,orthodox,13,54,1,'{l,w}',LOCAL,7,southpaw,13,38,-5,'{l,d}',27,29
L,Belgium,8,'super welterweight',VISITANTE,5,orthodox,21,67,2,'{w,l}',VISITANTE,5,orthodox,29,93,6,'{w,w}',23,28
D,Argentina,4,'super bantamweight',LOCAL,3,southpaw,10,50,-1,'{l,l}',LOCAL,7,orthodox,18,72,-2,'{l,w}',25,29
L,Argentina,6,middleweight,LOCAL,2,orthodox,9,89,5,'{w,d}',LOCAL,1,orthodox,10,40,1,'{w,l}',22,25
W,'United Kingdom',10,'super lightweight',LOCAL,4,orthodox,13,77,2,'{w,l}',LOCAL,4,orthodox,12,100,6,'{w,w}',22,25
W,Japan,6,'super flyweight',LOCAL,2,southpaw,9,56,0,'{w,w}',LOCAL,1,orthodox,6,83,4,'{w,l}',28,22
D,Japan,4,'super featherweight',LOCAL,2,southpaw,6,50,0,'{l,l}',LOCAL,3,orthodox,8,50,0,'{l,w}',22,24
W,'United Kingdom',12,lightweight,VISITANTE,9,orthodox,28,93,2,'{w,w}',LOCAL,7,orthodox,31,100,6,'{w,w}',29,25
W,Nicaragua,6,flyweight,LOCAL,2,southpaw,7,57,3,'{w,l}',LOCAL,9,orthodox,36,44,-3,'{l,w}',19,30
W,USA,12,welterweight,VISITANTE,11,orthodox,30,80,1,'{l,l}',VISITANTE,9,orthodox,28,79,2,'{w,l}',29,30
W,USA,6,heavyweight,LOCAL,1,orthodox,6,100,6,'{w,w}',LOCAL,8,orthodox,10,60,-1,'{w,l}',26,33
L,Philippines,10,flyweight,LOCAL,6,southpaw,34,56,2,'{w,l}',LOCAL,2,southpaw,14,93,6,'{w,w}',24,19
W,Panama,6,'super flyweight',LOCAL,2,orthodox,8,88,4,'{w,l}',LOCAL,2,orthodox,7,29,0,'{d,l}',20,26
L,Mexico,12,'super featherweight',LOCAL,3,orthodox,14,93,5,'{w,w}',LOCAL,3,orthodox,15,47,-1,'{d,l}',20,22
L,France,12,'super middleweight',LOCAL,5,southpaw,17,88,6,'{w,w}',VISITANTE,3,orthodox,11,82,2,'{w,w}',28,27
W,Colombia,10,flyweight,LOCAL,3,orthodox,13,77,2,'{l,w}',LOCAL,6,orthodox,11,73,2,'{l,w}',24,30
W,USA,8,'super lightweight',LOCAL,1,orthodox,10,100,6,'{w,w}',VISITANTE,3,orthodox,10,80,5,'{d,w}',19,21
L,Egypt,12,'light heavyweight',LOCAL,3,orthodox,12,100,6,'{w,w}',VISITANTE,8,orthodox,19,63,-1,'{l,w}',28,30
W,Philippines,10,'super bantamweight',LOCAL,2,southpaw,9,89,5,'{w,w}',LOCAL,7,orthodox,24,33,-6,'{l,l}',19,24
W,Japan,8,'super lightweight',LOCAL,9,southpaw,26,73,0,'{w,w}',LOCAL,6,orthodox,14,50,3,'{l,w}',27,29
L,Argentina,6,featherweight,LOCAL,5,orthodox,40,28,0,'{w,l}',LOCAL,6,orthodox,19,84,0,'{w,w}',28,27
L,USA,10,cruiserweight,VISITANTE,10,orthodox,37,78,0,'{l,w}',LOCAL,6,orthodox,24,96,6,'{w,w}',33,30
W,Japan,8,featherweight,LOCAL,13,orthodox,38,68,-3,'{w,d}',VISITANTE,3,orthodox,8,63,0,'{l,w}',31,21
W,Italy,6,lightweight,LOCAL,5,southpaw,16,94,5,'{w,w}',VISITANTE,2,orthodox,8,50,2,'{w,w}',31,21
W,Germany,10,heavyweight,VISITANTE,5,orthodox,19,89,2,'{w,w}',VISITANTE,13,orthodox,22,73,2,'{w,w}',30,39
L,Mexico,6,flyweight,LOCAL,2,orthodox,12,25,-2,'{w,w}',LOCAL,2,orthodox,8,100,6,'{w,w}',19,23
W,Philippines,10,bantamweight,LOCAL,7,orthodox,28,50,0,'{w,w}',LOCAL,2,orthodox,8,63,2,'{l,l}',25,21
W,Philippines,10,featherweight,LOCAL,3,southpaw,14,86,3,'{w,l}',LOCAL,4,orthodox,21,38,-3,'{l,w}',22,23
L,Colombia,6,bantamweight,LOCAL,12,orthodox,50,26,-6,'{l,l}',LOCAL,10,southpaw,35,80,0,'{w,w}',31,31
W,Tanzania,8,'super bantamweight',LOCAL,7,orthodox,25,60,0,'{l,l}',LOCAL,17,southpaw,52,75,4,'{w,w}',21,35
W,Australia,12,'super middleweight',LOCAL,3,orthodox,11,91,6,'{w,w}',VISITANTE,3,southpaw,16,69,-2,'{l,l}',27,27
W,Argentina,10,welterweight,LOCAL,6,orthodox,29,55,0,'{l,l}',LOCAL,4,orthodox,14,86,4,'{l,w}',28,24
W,China,10,'super flyweight',VISITANTE,3,southpaw,11,100,6,'{w,w}',VISITANTE,8,orthodox,15,47,-1,'{l,w}',26,24
L,Japan,8,bantamweight,VISITANTE,5,orthodox,14,79,5,'{w,w}',LOCAL,3,southpaw,11,100,6,'{w,w}',25,25
D,USA,10,'super welterweight',VISITANTE,8,orthodox,22,77,6,'{w,w}',VISITANTE,3,southpaw,15,100,6,'{w,w}',27,28
W,Philippines,10,flyweight,LOCAL,2,southpaw,13,92,6,'{w,w}',LOCAL,6,southpaw,33,58,2,'{w,w}',19,24
L,Japan,8,'super flyweight',LOCAL,5,orthodox,16,38,1,'{w,l}',LOCAL,6,orthodox,18,72,4,'{w,w}',23,24
L,USA,6,'super welterweight',LOCAL,11,orthodox,35,37,-4,'{l,w}',LOCAL,4,orthodox,13,92,4,'{l,w}',31,22
D,Italy,10,middleweight,LOCAL,10,orthodox,31,74,4,'{w,w}',LOCAL,3,orthodox,13,69,4,'{w,w}',33,30
L,USA,10,cruiserweight,VISITANTE,3,orthodox,14,93,5,'{w,w}',VISITANTE,5,orthodox,15,100,6,'{w,w}',31,28
W,Japan,8,'super featherweight',LOCAL,8,orthodox,26,58,-2,'{l,l}',LOCAL,5,orthodox,14,71,0,'{w,l}',29,30
L,'Trinidad And Tobago',10,heavyweight,VISITANTE,2,orthodox,16,75,6,'{w,w}',LOCAL,2,orthodox,12,100,6,'{w,w}',25,29
W,Argentina,10,lightweight,LOCAL,8,southpaw,22,86,5,'{w,w}',LOCAL,6,orthodox,15,93,6,'{w,w}',28,29
L,Japan,12,'super featherweight',VISITANTE,7,orthodox,27,89,4,'{w,w}',LOCAL,10,southpaw,30,87,6,'{w,w}',25,28
W,'United Kingdom',12,'light heavyweight',VISITANTE,4,orthodox,22,95,5,'{w,w}',LOCAL,8,orthodox,26,100,6,'{w,w}',30,26
W,Germany,6,'super welterweight',LOCAL,5,orthodox,15,87,5,'{w,d}',VISITANTE,12,orthodox,34,44,-3,'{w,l}',23,36
L,Mexico,12,'light flyweight',LOCAL,14,orthodox,28,68,2,'{w,w}',LOCAL,3,orthodox,16,88,2,'{w,l}',31,26
W,Russia,12,'light heavyweight',LOCAL,6,orthodox,18,94,4,'{w,w}',VISITANTE,6,orthodox,26,92,4,'{l,w}',29,26
L,USA,10,'super welterweight',LOCAL,7,orthodox,19,95,4,'{w,w}',LOCAL,5,southpaw,21,95,4,'{w,l}',28,27
W,France,8,'light heavyweight',LOCAL,7,orthodox,29,90,2,'{w,w}',LOCAL,9,orthodox,26,88,4,'{w,w}',27,29
W,Mexico,8,middleweight,LOCAL,5,orthodox,24,96,6,'{w,w}',LOCAL,12,orthodox,26,69,2,'{w,l}',26,29
W,Germany,8,'light heavyweight',VISITANTE,2,southpaw,6,100,6,'{w,w}',VISITANTE,2,southpaw,9,78,2,'{l,w}',23,28
L,'United Kingdom',4,'super middleweight',VISITANTE,6,orthodox,45,29,0,'{l,l}',LOCAL,8,orthodox,46,41,2,'{w,w}',27,27
L,USA,6,'super featherweight',VISITANTE,18,orthodox,67,54,-4,'{l,l}',LOCAL,4,orthodox,14,100,6,'{w,w}',38,22
L,Argentina,6,'super flyweight',LOCAL,2,orthodox,9,44,0,'{l,l}',LOCAL,1,orthodox,7,100,6,'{w,w}',22,27
W,Japan,8,'super flyweight',LOCAL,5,southpaw,14,71,3,'{l,w}',LOCAL,5,orthodox,13,85,5,'{w,w}',27,25
L,Japan,12,'super featherweight',LOCAL,8,orthodox,24,79,6,'{w,w}',LOCAL,8,orthodox,21,95,5,'{w,w}',24,33
W,Japan,8,'super bantamweight',LOCAL,2,orthodox,7,86,4,'{w,w}',LOCAL,7,southpaw,21,33,-6,'{l,l}',21,24
W,USA,8,lightweight,VISITANTE,4,orthodox,18,89,4,'{l,w}',LOCAL,21,orthodox,55,80,-2,'{l,l}',23,40
L,Ukraine,12,'super welterweight',VISITANTE,2,orthodox,21,76,2,'{l,w}',LOCAL,6,orthodox,16,100,6,'{w,w}',24,25
L,Philippines,10,'super flyweight',LOCAL,5,orthodox,16,69,-4,'{l,l}',LOCAL,6,orthodox,22,73,1,'{w,l}',22,23
W,USA,6,'super welterweight',LOCAL,3,orthodox,7,100,6,'{w,w}',LOCAL,2,orthodox,9,44,0,'{w,l}',20,34
W,'United Kingdom',12,bantamweight,LOCAL,6,orthodox,18,83,6,'{w,w}',VISITANTE,4,orthodox,20,95,4,'{l,w}',25,21
L,Philippines,10,'super flyweight',VISITANTE,5,orthodox,30,83,6,'{w,w}',LOCAL,2,southpaw,16,94,6,'{w,w}',22,18
W,USA,6,lightweight,LOCAL,2,southpaw,6,100,6,'{w,w}',VISITANTE,6,orthodox,12,42,-3,'{l,l}',22,29
L,Japan,6,'super flyweight',LOCAL,5,orthodox,10,70,2,'{w,l}',LOCAL,3,southpaw,12,67,4,'{l,w}',24,20
W,Russia,10,'light heavyweight',LOCAL,2,orthodox,9,100,6,'{w,w}',LOCAL,3,southpaw,10,70,3,'{d,w}',19,22
L,'United Kingdom',6,'light heavyweight',VISITANTE,4,orthodox,27,52,0,'{l,w}',LOCAL,8,southpaw,16,88,6,'{w,w}',30,30
W,Ghana,12,'light heavyweight',LOCAL,11,orthodox,21,100,6,'{w,w}',VISITANTE,6,orthodox,22,91,4,'{w,l}',30,26
L,Philippines,8,'super featherweight',LOCAL,12,southpaw,48,54,-5,'{l,l}',LOCAL,6,orthodox,19,58,-3,'{l,l}',32,24
L,Japan,12,welterweight,VISITANTE,5,orthodox,13,62,0,'{l,w}',LOCAL,9,orthodox,25,92,3,'{l,w}',29,31
W,Philippines,10,'super flyweight',LOCAL,6,orthodox,25,76,3,'{w,w}',LOCAL,4,orthodox,13,85,2,'{l,w}',23,23
W,Italy,6,'super welterweight',LOCAL,2,orthodox,6,100,6,'{w,w}',LOCAL,8,southpaw,27,59,0,'{d,w}',26,29
L,Philippines,12,'super flyweight',LOCAL,1,orthodox,12,92,6,'{w,w}',LOCAL,2,southpaw,14,93,6,'{w,w}',26,17
L,Philippines,8,featherweight,LOCAL,7,orthodox,22,27,-6,'{l,l}',LOCAL,1,orthodox,7,100,6,'{w,w}',23,18
W,Belgium,12,cruiserweight,LOCAL,17,orthodox,77,62,0,'{l,w}',VISITANTE,5,orthodox,25,60,0,'{l,l}',36,31
W,Australia,12,welterweight,LOCAL,7,orthodox,25,80,2,'{l,l}',VISITANTE,3,orthodox,8,100,6,'{w,w}',27,25
W,Argentina,8,lightweight,LOCAL,1,orthodox,17,100,6,'{w,w}',LOCAL,5,orthodox,24,50,1,'{d,l}',21,27
L,Finland,10,cruiserweight,VISITANTE,8,orthodox,19,53,0,'{w,w}',LOCAL,8,orthodox,27,78,0,'{l,w}',42,33
L,Australia,12,heavyweight,VISITANTE,13,orthodox,68,81,0,'{w,l}',LOCAL,5,orthodox,21,100,6,'{w,w}',31,35
L,Japan,10,flyweight,LOCAL,5,orthodox,18,67,2,'{w,w}',LOCAL,10,orthodox,23,87,6,'{w,w}',22,28
W,Philippines,10,'super flyweight',LOCAL,2,orthodox,14,93,4,'{w,l}',LOCAL,3,orthodox,13,46,-2,'{l,l}',22,22
W,'United Kingdom',8,heavyweight,LOCAL,0,orthodox,11,100,6,'{w,w}',VISITANTE,7,orthodox,15,67,0,'{w,w}',18,31
W,Philippines,10,'super featherweight',LOCAL,5,southpaw,18,78,2,'{w,l}',LOCAL,7,orthodox,25,72,-2,'{w,l}',25,26
L,'United Kingdom',8,heavyweight,VISITANTE,7,orthodox,57,37,-4,'{l,l}',LOCAL,3,orthodox,14,100,6,'{w,w}',37,26
L,Denmark,12,middleweight,VISITANTE,4,orthodox,19,74,4,'{l,w}',LOCAL,4,southpaw,17,100,6,'{w,w}',22,22
D,Argentina,8,flyweight,LOCAL,6,orthodox,12,25,-4,'{l,l}',LOCAL,3,orthodox,12,83,4,'{w,w}',27,23
W,Argentina,10,'super bantamweight',VISITANTE,1,orthodox,9,100,6,'{w,w}',VISITANTE,7,orthodox,14,71,0,'{l,l}',22,28
W,Philippines,10,flyweight,LOCAL,4,orthodox,19,68,0,'{l,w}',LOCAL,1,orthodox,7,57,2,'{w,l}',22,20
L,'United Kingdom',3,heavyweight,LOCAL,4,orthodox,34,82,2,'{w,l}',VISITANTE,9,orthodox,31,84,0,'{l,w}',31,32
L,Canada,10,heavyweight,VISITANTE,7,orthodox,34,82,0,'{w,l}',VISITANTE,13,orthodox,32,69,-4,'{w,l}',32,37
W,'United Kingdom',8,heavyweight,VISITANTE,3,southpaw,12,100,6,'{w,w}',VISITANTE,15,orthodox,59,64,2,'{w,w}',25,34
L,Australia,12,lightweight,VISITANTE,7,orthodox,28,89,5,'{w,w}',VISITANTE,8,orthodox,33,91,2,'{w,l}',27,25
L,Germany,12,'super lightweight',VISITANTE,5,orthodox,22,59,6,'{w,w}',VISITANTE,11,orthodox,46,80,4,'{w,w}',27,29
W,Mexico,12,flyweight,LOCAL,11,orthodox,40,85,4,'{w,w}',VISITANTE,5,orthodox,22,64,2,'{d,w}',30,22
L,'United Kingdom',10,'super middleweight',LOCAL,3,orthodox,17,76,6,'{w,w}',LOCAL,13,orthodox,42,76,2,'{l,w}',21,31
W,Japan,10,'light flyweight',LOCAL,8,orthodox,15,80,4,'{w,w}',LOCAL,14,orthodox,38,66,2,'{w,w}',30,34
W,Finland,8,'super featherweight',LOCAL,3,southpaw,9,78,4,'{w,w}',VISITANTE,13,southpaw,48,40,-2,'{l,w}',31,34
W,Philippines,8,bantamweight,LOCAL,4,southpaw,21,95,6,'{w,w}',VISITANTE,5,orthodox,19,79,1,'{w,w}',20,25
W,USA,10,'super lightweight',LOCAL,8,orthodox,31,97,6,'{w,w}',LOCAL,8,orthodox,33,100,6,'{w,w}',26,31
D,Germany,10,welterweight,VISITANTE,11,orthodox,53,79,4,'{w,w}',VISITANTE,5,orthodox,18,100,6,'{w,w}',35,27
W,Philippines,8,'super featherweight',LOCAL,3,orthodox,13,92,6,'{w,w}',LOCAL,3,orthodox,20,85,0,'{w,l}',21,21
L,Argentina,6,'light heavyweight',LOCAL,2,orthodox,10,80,2,'{l,w}',LOCAL,2,southpaw,12,50,2,'{w,l}',29,26
W,USA,10,'super flyweight',LOCAL,6,orthodox,12,92,4,'{w,l}',VISITANTE,3,orthodox,15,87,2,'{w,l}',24,20
W,Montenegro,12,'super middleweight',LOCAL,2,orthodox,9,100,6,'{w,w}',VISITANTE,2,orthodox,8,100,6,'{w,w}',29,30
W,USA,10,lightweight,VISITANTE,14,orthodox,33,82,2,'{w,w}',VISITANTE,4,orthodox,28,68,2,'{l,w}',31,25
L,USA,12,lightweight,VISITANTE,12,orthodox,52,88,4,'{l,w}',LOCAL,6,orthodox,28,100,6,'{w,w}',28,25
D,'Puerto Rico',8,'super bantamweight',LOCAL,8,orthodox,12,67,2,'{w,l}',LOCAL,4,orthodox,15,100,6,'{w,w}',28,21
L,USA,10,'super lightweight',VISITANTE,15,orthodox,67,87,6,'{w,w}',VISITANTE,8,orthodox,32,94,2,'{w,w}',31,29
W,'United Kingdom',4,'super middleweight',LOCAL,3,orthodox,19,16,-2,'{l,l}',LOCAL,2,orthodox,6,100,6,'{w,w}',29,19
W,Argentina,8,'light heavyweight',LOCAL,7,orthodox,17,65,1,'{l,d}',LOCAL,6,orthodox,26,46,-3,'{w,l}',28,33
D,Panama,8,'light flyweight',LOCAL,12,orthodox,38,55,-4,'{l,l}',LOCAL,1,orthodox,11,91,4,'{w,w}',30,20
W,'United Kingdom',6,welterweight,LOCAL,12,southpaw,30,87,3,'{d,w}',LOCAL,4,orthodox,56,16,-6,'{l,l}',32,26
L,Philippines,10,'super bantamweight',VISITANTE,6,orthodox,26,69,-2,'{l,l}',LOCAL,8,southpaw,31,90,4,'{w,l}',28,24
L,Italy,10,cruiserweight,LOCAL,7,orthodox,8,75,4,'{l,w}',LOCAL,9,orthodox,27,63,2,'{l,w}',31,33
D,Argentina,10,'super bantamweight',LOCAL,11,orthodox,28,61,0,'{l,w}',LOCAL,7,southpaw,30,37,-2,'{l,l}',33,29
L,Croatia,6,'super middleweight',VISITANTE,14,orthodox,96,19,-3,'{l,l}',VISITANTE,8,orthodox,28,93,2,'{w,l}',38,35
L,Thailand,6,'super flyweight',VISITANTE,9,orthodox,37,46,-2,'{l,l}',LOCAL,2,orthodox,19,68,6,'{w,w}',29,25
W,Philippines,12,'super bantamweight',LOCAL,14,orthodox,36,92,2,'{w,l}',VISITANTE,8,orthodox,27,81,0,'{l,w}',32,31
W,USA,12,'super welterweight',LOCAL,7,southpaw,24,100,6,'{w,w}',VISITANTE,13,orthodox,34,76,-1,'{d,w}',26,31
L,Brazil,12,'super bantamweight',VISITANTE,1,orthodox,7,71,4,'{w,w}',LOCAL,21,orthodox,78,83,4,'{w,w}',25,43
W,Thailand,12,minimumweight,LOCAL,6,orthodox,29,100,6,'{w,w}',VISITANTE,6,orthodox,16,63,2,'{l,w}',27,24
L,Japan,6,featherweight,LOCAL,3,orthodox,6,83,5,'{d,w}',LOCAL,4,southpaw,8,63,5,'{w,d}',25,31
W,Canada,12,middleweight,LOCAL,3,orthodox,22,100,6,'{w,w}',VISITANTE,7,orthodox,25,80,1,'{w,l}',21,29
W,'United Kingdom',3,lightweight,LOCAL,9,orthodox,33,85,0,'{l,l}',LOCAL,4,orthodox,16,63,2,'{l,l}',27,23
L,Philippines,10,bantamweight,LOCAL,3,southpaw,11,55,0,'{w,d}',LOCAL,3,southpaw,24,79,2,'{l,w}',21,18
W,Spain,8,'super middleweight',LOCAL,5,orthodox,14,64,0,'{w,l}',LOCAL,1,orthodox,9,89,5,'{w,w}',26,28
W,USA,8,heavyweight,LOCAL,7,orthodox,20,80,0,'{l,l}',LOCAL,4,orthodox,30,37,-2,'{l,l}',30,32
W,Ukraine,12,flyweight,LOCAL,2,orthodox,7,100,6,'{w,w}',VISITANTE,5,orthodox,15,73,4,'{w,w}',25,21
L,'United Kingdom',6,middleweight,VISITANTE,5,southpaw,29,79,2,'{w,l}',LOCAL,4,orthodox,14,86,3,'{w,d}',39,33
W,France,8,heavyweight,LOCAL,3,orthodox,10,90,4,'{w,l}',VISITANTE,2,orthodox,11,64,2,'{w,w}',24,28
L,Canada,8,'super featherweight',VISITANTE,14,orthodox,36,64,-6,'{l,l}',LOCAL,5,orthodox,23,87,1,'{d,l}',35,32
W,Argentina,10,featherweight,LOCAL,3,orthodox,11,73,5,'{w,w}',LOCAL,3,orthodox,16,81,5,'{d,w}',23,22
L,Mexico,10,'super bantamweight',LOCAL,6,orthodox,55,62,2,'{l,w}',LOCAL,3,orthodox,15,100,6,'{w,w}',24,20
L,USA,8,middleweight,VISITANTE,6,orthodox,23,100,6,'{w,w}',LOCAL,6,southpaw,17,94,6,'{w,w}',30,27
W,Panama,6,'super flyweight',LOCAL,5,southpaw,14,64,0,'{l,w}',LOCAL,2,orthodox,6,33,0,'{w,d}',26,26
W,USA,10,middleweight,LOCAL,2,orthodox,17,100,6,'{w,w}',LOCAL,9,orthodox,24,88,2,'{w,w}',22,30
W,'Puerto Rico',12,minimumweight,VISITANTE,9,orthodox,25,92,6,'{w,w}',LOCAL,7,orthodox,15,87,4,'{w,w}',27,25
L,'United Kingdom',4,welterweight,LOCAL,5,orthodox,82,16,-2,'{l,d}',LOCAL,5,orthodox,19,79,0,'{l,w}',27,26
L,Germany,12,'super welterweight',VISITANTE,4,orthodox,19,95,4,'{w,w}',LOCAL,4,orthodox,15,93,4,'{w,l}',25,27
L,Philippines,10,'super bantamweight',LOCAL,3,orthodox,16,88,2,'{w,w}',LOCAL,7,orthodox,29,76,4,'{l,w}',19,24
L,Japan,6,'super lightweight',LOCAL,3,orthodox,10,60,2,'{l,l}',LOCAL,3,orthodox,7,71,2,'{l,w}',27,28
L,Philippines,6,flyweight,LOCAL,3,orthodox,19,26,-4,'{l,l}',LOCAL,5,southpaw,33,21,-2,'{l,l}',21,27
W,Philippines,6,flyweight,LOCAL,1,southpaw,9,89,4,'{w,w}',LOCAL,4,southpaw,29,24,0,'{w,w}',18,26
L,Philippines,8,featherweight,LOCAL,5,orthodox,24,50,0,'{l,l}',LOCAL,2,orthodox,8,100,6,'{w,w}',24,20
W,USA,8,'light flyweight',VISITANTE,7,southpaw,36,72,4,'{w,w}',VISITANTE,10,orthodox,22,68,-2,'{l,l}',24,28
L,Japan,10,'super bantamweight',LOCAL,10,southpaw,20,40,-1,'{w,w}',VISITANTE,7,southpaw,28,71,2,'{w,w}',27,28
W,USA,10,'super welterweight',LOCAL,7,orthodox,26,92,6,'{w,w}',VISITANTE,15,orthodox,47,79,2,'{w,l}',29,34
W,Russia,10,heavyweight,LOCAL,6,orthodox,22,86,4,'{w,l}',VISITANTE,6,orthodox,14,93,4,'{w,w}',25,28
W,Philippines,6,'super flyweight',LOCAL,6,southpaw,13,77,4,'{w,w}',LOCAL,3,southpaw,16,25,-3,'{w,l}',23,21
L,Argentina,4,welterweight,LOCAL,2,orthodox,9,100,6,'{w,w}',LOCAL,2,southpaw,13,69,6,'{w,w}',28,22
L,'Puerto Rico',8,'super welterweight',VISITANTE,3,orthodox,19,68,2,'{w,l}',VISITANTE,10,orthodox,38,89,6,'{w,w}',27,29
W,Panama,6,lightweight,LOCAL,2,southpaw,8,50,2,'{l,w}',LOCAL,7,orthodox,23,30,-2,'{l,l}',20,27
L,Japan,10,bantamweight,LOCAL,7,orthodox,26,69,2,'{w,w}',LOCAL,8,orthodox,26,77,6,'{w,w}',25,31
W,Australia,10,heavyweight,LOCAL,7,orthodox,19,84,6,'{w,w}',VISITANTE,8,orthodox,34,62,-2,'{l,w}',29,28
W,Mexico,12,lightweight,VISITANTE,7,orthodox,23,74,4,'{w,w}',LOCAL,5,orthodox,28,68,4,'{w,w}',26,23
D,Nicaragua,6,featherweight,LOCAL,1,orthodox,13,23,-2,'{l,l}',LOCAL,1,orthodox,11,91,5,'{w,d}',20,19
W,USA,10,middleweight,LOCAL,3,orthodox,10,100,6,'{w,w}',VISITANTE,9,orthodox,15,80,4,'{l,w}',21,31
W,Japan,8,featherweight,LOCAL,4,orthodox,11,91,5,'{w,d}',LOCAL,4,orthodox,10,80,4,'{w,w}',23,30
W,Japan,8,bantamweight,LOCAL,2,southpaw,7,100,6,'{w,w}',LOCAL,8,orthodox,21,90,4,'{w,w}',20,30
W,Mexico,10,middleweight,LOCAL,4,orthodox,21,95,6,'{w,w}',LOCAL,13,orthodox,48,56,-2,'{l,w}',23,29
W,Colombia,4,flyweight,LOCAL,2,orthodox,13,85,6,'{w,w}',LOCAL,6,orthodox,15,27,-6,'{l,l}',21,27
W,Philippines,10,'light flyweight',LOCAL,2,orthodox,11,91,6,'{w,w}',LOCAL,2,orthodox,13,69,2,'{w,l}',19,21
W,Australia,12,'light heavyweight',LOCAL,3,orthodox,12,83,4,'{w,w}',LOCAL,4,southpaw,25,56,4,'{w,w}',29,27
W,Philippines,8,featherweight,LOCAL,6,orthodox,22,86,2,'{w,l}',LOCAL,4,orthodox,11,36,0,'{l,l}',23,24
W,USA,10,'super welterweight',LOCAL,6,orthodox,27,85,3,'{d,w}',LOCAL,4,southpaw,16,94,5,'{w,d}',25,25
W,Mexico,12,'super featherweight',LOCAL,7,orthodox,26,88,2,'{w,w}',LOCAL,15,orthodox,49,76,4,'{w,l}',25,32
W,USA,8,'super welterweight',LOCAL,2,southpaw,13,100,6,'{w,w}',VISITANTE,11,orthodox,35,69,-4,'{l,l}',24,27
L,'Puerto Rico',8,lightweight,VISITANTE,6,orthodox,13,77,2,'{l,l}',VISITANTE,2,orthodox,11,91,6,'{w,w}',23,20
L,Canada,12,middleweight,VISITANTE,7,southpaw,28,93,4,'{l,w}',LOCAL,7,orthodox,33,94,6,'{w,w}',27,25
W,Mexico,12,flyweight,LOCAL,7,southpaw,24,75,4,'{w,w}',LOCAL,4,orthodox,12,83,2,'{w,w}',22,21
W,Canada,8,lightweight,LOCAL,3,orthodox,16,100,6,'{w,w}',VISITANTE,7,orthodox,26,81,0,'{l,l}',30,33
L,Japan,8,bantamweight,VISITANTE,4,orthodox,16,81,3,'{w,l}',LOCAL,3,southpaw,9,89,4,'{w,l}',24,21
W,'United Kingdom',10,featherweight,LOCAL,8,southpaw,21,76,-2,'{l,l}',LOCAL,3,southpaw,16,100,6,'{w,w}',26,23
